//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0,-18.00,-67.00,-10.00,0.00,26.00,-62.00,9.00,2.00,43.00,-42.00,-2.00,7.00,-14.00,11.00,-10.00,10.00,-83.00,-74.00,7.00,0.00,57.00,-30.00,5.00,-1.00,36.00,2.00,0.00,-5.00,72.00,-56.00,10.00,1.00,-73.00,73.00,-9.00,10.00,62.00,-44.00,1.00,-5.00
10,-118.00,-67.00,-10.00,0.00,116.00,-42.00,9.00,2.00,22.99,28.02,-2.00,7.00,-114.00,111.00,-10.00,10.00,-13.00,-74.00,7.00,-0.00,107.00,-40.00,5.00,-1.00,43.87,-40.13,1.12,-3.88,172.00,-46.00,10.00,1.00,-163.00,173.00,-9.00,10.00,72.00,-94.00,1.00,-5.00
20,-218.00,-67.00,-10.00,0.00,206.00,-22.00,9.00,2.00,2.97,98.04,-2.00,7.00,-214.00,211.00,-10.00,10.00,57.00,-74.00,7.00,0.00,157.00,-50.00,5.00,-1.00,55.12,-78.88,1.12,-3.88,272.00,-36.00,10.00,1.00,-253.00,273.00,-9.00,10.00,82.00,-144.00,1.00,-5.00
30,-318.00,-67.00,-10.00,0.00,296.00,-2.00,9.00,2.00,-17.05,168.07,-2.00,7.00,-314.00,311.00,-10.00,10.00,126.99,-73.99,7.00,0.00,207.00,-60.00,5.00,-1.00,66.31,-117.64,1.12,-3.88,372.00,-26.00,10.00,1.00,-343.00,373.00,-9.00,10.00,92.00,-194.00,1.00,-5.00
40,-418.00,-67.00,-10.00,0.00,386.00,18.00,9.00,2.00,-37.07,238.09,-2.00,7.00,-414.00,411.00,-10.00,10.00,196.98,-73.99,7.00,0.00,257.00,-70.00,5.00,-1.00,77.49,-156.41,1.12,-3.88,472.00,-16.00,10.00,1.00,-433.00,473.00,-9.00,10.00,102.00,-244.00,1.00,-5.00
50,-518.00,-67.00,-10.00,0.00,476.00,38.00,9.00,2.00,-57.09,308.12,-2.00,7.00,-514.00,511.00,-10.00,10.00,266.97,-73.99,7.00,0.00,307.00,-80.00,5.00,-1.00,88.68,-195.17,1.12,-3.88,572.00,-6.00,10.00,1.00,-523.00,573.00,-9.00,10.00,112.00,-294.00,1.00,-5.00
60,-618.00,-67.00,-10.00,0.00,566.00,58.00,9.00,2.00,-77.11,378.14,-2.00,7.00,-614.00,611.00,-10.00,10.00,336.96,-73.98,7.00,0.00,357.00,-90.00,5.00,-1.00,99.87,-233.94,1.12,-3.88,672.00,4.00,10.00,1.00,-613.00,673.00,-9.00,10.00,122.00,-344.01,1.00,-5.00
70,-718.00,-67.00,-10.00,0.00,656.00,78.00,9.00,2.00,-97.13,448.17,-2.00,7.00,-714.00,711.00,-10.00,10.00,406.95,-73.98,7.00,0.00,407.00,-100.00,5.00,-1.00,111.05,-272.70,1.12,-3.88,772.00,14.00,10.00,1.00,-703.00,773.00,-9.00,10.00,132.00,-394.01,1.00,-5.00
80,-818.00,-67.00,-10.00,0.00,746.00,98.00,9.00,2.00,-117.15,518.20,-2.00,7.00,-814.00,811.00,-10.00,10.00,476.93,-73.97,7.00,0.00,457.00,-110.00,5.00,-1.00,122.24,-311.47,1.12,-3.88,872.00,24.00,10.00,1.00,-793.00,873.00,-9.00,10.00,142.00,-444.01,1.00,-5.00
90,-918.00,-67.00,-10.00,0.00,836.00,118.00,9.00,2.00,-137.16,588.22,-2.00,7.00,-914.00,911.00,-10.00,10.00,546.92,-73.97,7.00,0.00,507.00,-120.00,5.00,-1.00,133.43,-350.23,1.12,-3.88,972.00,34.00,10.00,1.00,-883.00,973.00,-9.00,10.00,152.00,-494.01,1.00,-5.00
