//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,85.00,34.00,-8.00,4.00,-39.00,69.00,2.00,10.00,44.00,-76.00,-6.00,2.00,-88.00,97.00,8.00,10.00,93.00,-25.00,9.00,-9.00
100,-715.00,434.00,-8.00,4.00,161.00,1069.00,2.00,10.00,-556.00,124.00,-6.00,2.00,712.00,1097.00,8.00,10.00,993.00,-925.00,9.00,-9.00
200,-1515.00,834.00,-8.00,4.00,361.00,2069.00,2.00,10.00,-1156.00,324.00,-6.00,2.00,1512.00,2097.00,8.00,10.00,1893.00,-1825.00,9.00,-9.00
300,-2315.00,1234.00,-8.00,4.00,561.00,3069.00,2.00,10.00,-1756.00,524.00,-6.00,2.00,2312.00,3097.00,8.00,10.00,2793.00,-2725.00,9.00,-9.00
400,-3115.00,1634.00,-8.00,4.00,761.00,4069.00,2.00,10.00,-2356.00,724.00,-6.00,2.00,3112.00,4097.00,8.00,10.00,3693.00,-3625.00,9.00,-9.00
500,-3915.00,2034.00,-8.00,4.00,961.00,5069.00,2.00,10.00,-2956.00,924.00,-6.00,2.00,3912.00,5097.00,8.00,10.00,4593.00,-4525.00,9.00,-9.00
600,-4715.00,2434.00,-8.00,4.00,1161.00,6069.00,2.00,10.00,-3556.00,1124.00,-6.00,2.00,4712.00,6097.00,8.00,10.00,5493.00,-5425.00,9.00,-9.00
700,-5515.00,2834.00,-8.00,4.00,1361.00,7069.00,2.00,10.00,-4156.00,1324.00,-6.00,2.00,5512.00,7097.00,8.00,10.00,6393.00,-6325.00,9.00,-9.00
800,-6315.00,3234.00,-8.00,4.00,1561.00,8069.00,2.00,10.00,-4756.00,1524.00,-6.00,2.00,6312.00,8097.00,8.00,10.00,7293.00,-7225.00,9.00,-9.00
900,-7115.00,3634.00,-8.00,4.00,1761.00,9069.00,2.00,10.00,-5356.00,1724.00,-6.00,2.00,7112.00,9097.00,8.00,10.00,8193.00,-8125.00,9.00,-9.00
