//CSV contenant les positions et les vitesses de N=10 particules évoluant dans un espace infini durant T=10000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0,62.00,19.00,0.00,-4.00,39.00,53.00,-3.00,-1.00,-55.00,24.00,2.00,5.00,-29.00,-55.00,9.00,0.00,96.00,-46.00,7.00,9.00,44.00,23.00,-10.00,0.00,-5.00,-39.00,9.00,-2.00,46.00,66.00,6.00,4.00,35.00,-11.00,0.00,9.00,-62.00,-79.00,3.00,1.00
10,62.00,-21.00,0.00,-4.00,9.00,43.00,-3.00,-1.00,-35.00,74.00,2.00,5.00,61.00,-55.00,9.00,-0.00,166.00,44.00,7.00,9.00,-56.00,23.00,-10.00,0.00,85.00,-59.00,9.00,-2.00,106.00,106.00,6.00,4.00,35.00,79.00,0.00,9.00,-32.00,-69.00,3.00,1.00
20,62.00,-61.00,0.00,-4.00,-21.00,33.00,-3.00,-1.00,-15.00,124.00,2.00,5.00,151.00,-55.00,9.00,-0.00,236.00,134.00,7.00,9.00,-156.00,23.00,-10.00,0.00,175.00,-79.00,9.00,-2.00,166.00,146.00,6.00,4.00,35.00,169.00,0.00,9.00,-2.00,-59.00,3.00,1.00
30,62.00,-101.00,0.00,-4.00,-51.00,23.00,-3.00,-1.00,5.00,174.00,2.00,5.00,241.00,-55.00,9.00,-0.00,306.00,224.00,7.00,9.00,-256.00,23.00,-10.00,0.00,265.00,-99.00,9.00,-2.00,226.00,186.00,6.00,4.00,35.00,259.00,0.00,9.00,28.00,-49.00,3.00,1.00
40,62.00,-141.00,0.00,-4.00,-81.00,13.00,-3.00,-1.00,25.00,224.00,2.00,5.00,331.00,-55.00,9.00,-0.00,376.00,314.00,7.00,9.00,-356.00,23.00,-10.00,0.00,355.00,-119.00,9.00,-2.00,286.00,226.00,6.00,4.00,35.00,349.00,0.00,9.00,58.00,-39.00,3.00,1.00
50,62.00,-181.00,0.00,-4.00,-111.00,3.00,-3.00,-1.00,45.00,274.00,2.00,5.00,421.00,-55.00,9.00,-0.00,446.00,404.00,7.00,9.00,-456.00,23.00,-10.00,0.00,445.00,-139.00,9.00,-2.00,346.00,266.00,6.00,4.00,35.00,439.00,0.00,9.00,88.00,-29.00,3.00,1.00
60,62.00,-221.00,0.00,-4.00,-141.00,-7.00,-3.00,-1.00,65.00,324.00,2.00,5.00,511.00,-55.00,9.00,-0.00,516.00,494.00,7.00,9.00,-556.00,23.00,-10.00,0.00,535.00,-159.00,9.00,-2.00,406.00,306.00,6.00,4.00,35.00,529.00,0.00,9.00,118.00,-19.00,3.00,1.00
70,62.00,-261.00,0.00,-4.00,-171.00,-17.00,-3.00,-1.00,85.00,374.00,2.00,5.00,601.00,-55.00,9.00,-0.00,586.00,584.00,7.00,9.00,-656.00,23.00,-10.00,0.00,625.00,-179.00,9.00,-2.00,466.00,346.00,6.00,4.00,35.00,619.00,0.00,9.00,148.00,-9.00,3.00,1.00
80,62.00,-301.00,0.00,-4.00,-201.00,-27.00,-3.00,-1.00,105.00,424.00,2.00,5.00,691.00,-55.00,9.00,-0.00,656.00,674.00,7.00,9.00,-756.00,23.00,-10.00,0.00,715.00,-199.00,9.00,-2.00,526.00,386.00,6.00,4.00,35.00,709.00,0.00,9.00,178.00,1.00,3.00,1.00
90,62.00,-341.00,0.00,-4.00,-231.00,-37.00,-3.00,-1.00,125.00,474.00,2.00,5.00,781.00,-55.00,9.00,-0.00,726.00,764.00,7.00,9.00,-856.00,23.00,-10.00,0.00,805.00,-219.00,9.00,-2.00,586.00,426.00,6.00,4.00,35.00,799.00,0.00,9.00,208.00,11.00,3.00,1.00
100,62.00,-381.00,0.00,-4.00,-261.00,-47.00,-3.00,-1.00,145.00,524.00,2.00,5.00,871.00,-55.00,9.00,-0.00,796.00,854.00,7.00,9.00,-956.00,23.00,-10.00,0.00,895.00,-239.00,9.00,-2.00,646.00,466.00,6.00,4.00,35.00,889.00,0.00,9.00,238.00,21.00,3.00,1.00
110,62.00,-421.00,0.00,-4.00,-291.00,-57.00,-3.00,-1.00,165.00,574.00,2.00,5.00,961.00,-55.00,9.00,-0.00,866.00,944.00,7.00,9.00,-1056.00,23.00,-10.00,0.00,985.00,-259.00,9.00,-2.00,706.00,506.00,6.00,4.00,35.00,979.00,0.00,9.00,268.00,31.00,3.00,1.00
120,62.00,-461.00,0.00,-4.00,-321.00,-67.00,-3.00,-1.00,185.00,624.00,2.00,5.00,1051.00,-55.00,9.00,-0.00,936.00,1034.00,7.00,9.00,-1156.00,23.00,-10.00,0.00,1075.00,-279.00,9.00,-2.00,766.00,546.00,6.00,4.00,35.00,1069.00,0.00,9.00,298.00,41.00,3.00,1.00
130,62.00,-501.00,0.00,-4.00,-351.00,-77.00,-3.00,-1.00,205.00,674.00,2.00,5.00,1141.00,-55.00,9.00,-0.00,1006.00,1124.00,7.00,9.00,-1256.00,23.00,-10.00,0.00,1165.00,-299.00,9.00,-2.00,826.00,586.00,6.00,4.00,35.00,1159.00,0.00,9.00,328.00,51.00,3.00,1.00
140,62.00,-541.00,0.00,-4.00,-381.00,-87.00,-3.00,-1.00,225.00,724.00,2.00,5.00,1231.00,-55.00,9.00,-0.00,1076.00,1214.00,7.00,9.00,-1356.00,23.00,-10.00,0.00,1255.00,-319.00,9.00,-2.00,886.00,626.00,6.00,4.00,35.00,1249.00,0.00,9.00,358.00,61.00,3.00,1.00
150,62.00,-581.00,0.00,-4.00,-411.00,-97.00,-3.00,-1.00,245.00,774.00,2.00,5.00,1321.00,-55.00,9.00,-0.00,1146.00,1304.00,7.00,9.00,-1456.00,23.00,-10.00,0.00,1345.00,-339.00,9.00,-2.00,946.00,666.00,6.00,4.00,35.00,1339.00,0.00,9.00,388.00,71.00,3.00,1.00
160,62.00,-621.00,0.00,-4.00,-441.00,-107.00,-3.00,-1.00,265.00,824.00,2.00,5.00,1411.00,-55.00,9.00,-0.00,1216.00,1394.00,7.00,9.00,-1556.00,23.00,-10.00,0.00,1435.00,-359.00,9.00,-2.00,1006.00,706.00,6.00,4.00,35.00,1429.00,0.00,9.00,418.00,81.00,3.00,1.00
