//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,17.00,74.00,1.00,-1.00,-4.00,-14.00,0.00,1.00,88.00,-24.00,-1.00,1.00,20.00,53.00,0.00,0.00,-32.00,98.00,1.00,1.00
1,0.02,0.07,0.00,-0.00,-0.00,-0.01,-0.00,0.00,0.09,-0.02,-0.00,0.00,0.02,0.05,0.00,0.00,-0.03,0.10,0.00,0.00
2,54650124716596355137536.00,-546509637739966611062784.00,54650124716596355137536.00,-546509637739966611062784.00,17714474819865380.00,44537113605716944.00,17714474819865380.00,44537113605716944.00,-268139384080165.38,304123562139397.31,-268139384080165.38,304123562139397.31,-47114030418322168.00,42495007784007080.00,-47114030418322168.00,42495007784007080.00,-0.00,0.00,0.00,0.00
3,109300249433192710144.00,-1093019275479933255680.00,54650124716596355072.00,-546509637739966627840.00,35428949639730.76,89074227211433.89,17714474819865.38,44537113605716.95,-536278768160.33,608247124278.79,-268139384080.17,304123562139.40,-94228060836644.34,84990015568014.16,-47114030418322.17,42495007784007.08,-0.00,0.00,0.00,0.00
4,163950374149789088.00,-1639528913219899904.00,54650124716596360.00,-546509637739966656.00,53143424459.60,133611340817.15,17714474819.87,44537113605.72,-804418152.24,912370686.42,-268139384.08,304123562.14,-141342091254.97,127485023352.02,-47114030418.32,42495007784.01,-0.00,0.00,0.00,0.00
5,218600498866385.44,-2186038550959866.75,54650124716596.36,-546509637739966.69,70857899.28,178148454.42,17714474.82,44537113.61,-1072557.54,1216494.25,-268139.38,304123.56,-188456121.67,169980031.14,-47114030.42,42495007.78,-0.00,0.00,0.00,0.00
6,273250623582.98,-2732548188699.83,54650124716.60,-546509637739.97,88572.37,222685.57,17714.47,44537.11,-1340.70,1520.62,-268.14,304.12,-235570.15,212475.04,-47114.03,42495.01,-0.00,0.00,0.00,0.00
7,327900748.30,-3279057826.44,54650124.72,-546509637.74,106.29,267.22,17.71,44.54,-1.61,1.82,-0.27,0.30,-282.68,254.97,-47.11,42.50,0.03,-0.04,0.03,-0.04
8,382550.87,-3825567.46,54650.12,-546509.64,0.12,0.31,0.02,0.04,-0.08,0.08,-0.08,0.08,-0.33,0.30,-0.05,0.04,-727753148629.55,737215962184.06,-727753148629.55,737215962184.06
9,437.20,-4372.08,54.65,-546.51,-127756377.98,-143358935.22,-127756377.98,-143358935.22,-63116913.03,55591053.57,-63116913.03,55591053.57,-0.00,0.00,-0.00,0.00,-1455506297.26,1474431924.37,-727753148.63,737215962.18
10,0.49,-4.92,0.05,-0.55,-255512.76,-286717.87,-127756.38,-143358.94,-126233.83,111182.11,-63116.91,55591.05,-0.00,0.00,-0.00,0.00,-2183259.45,2211647.89,-727753.15,737215.96
11,0.00,-0.01,0.00,-0.00,-383.27,-430.08,-127.76,-143.36,-189.35,166.77,-63.12,55.59,261011880143085477312872841216.00,-2608418252175193377625629261824.00,261011880143085477312872841216.00,-2608418252175193377625629261824.00,-2911.01,2948.86,-727.75,737.22
12,0.00,-0.00,0.00,-0.00,-0.51,-0.57,-0.13,-0.14,-0.25,0.22,-0.06,0.06,522023760286170946929164288.00,-5216836504350387362181677056.00,261011880143085473464582144.00,-2608418252175193681090838528.00,-3.64,3.69,-0.73,0.74
13,-50875581.52,44808793.65,-50875581.52,44808793.65,124.65,383.66,124.65,383.66,-0.00,0.00,0.00,-0.00,783035640429256508440576.00,-7825254756525581455589376.00,261011880143085480443904.00,-2608418252175193818529792.00,-0.00,0.00,-0.00,0.00
