//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,-74.00,83.00,-2.00,-8.00,48.00,38.00,5.00,5.00,-96.00,-89.00,-7.00,10.00,61.00,80.00,-2.00,-1.00,-91.00,-97.00,-6.00,5.00
100,-nan,-nan,-nan,-nan,548.00,-nan,5.00,-nan,-796.00,-nan,-7.00,-nan,-139.00,-nan,-2.00,-nan,-691.00,-nan,-6.00,-nan
200,-nan,-nan,-nan,-nan,1048.00,-nan,5.00,-nan,-1496.00,-nan,-7.00,-nan,-339.00,-nan,-2.00,-nan,-1291.00,-nan,-6.00,-nan
300,-nan,-nan,-nan,-nan,1548.00,-nan,5.00,-nan,-2196.00,-nan,-7.00,-nan,-539.00,-nan,-2.00,-nan,-1891.00,-nan,-6.00,-nan
400,-nan,-nan,-nan,-nan,2048.00,-nan,5.00,-nan,-2896.00,-nan,-7.00,-nan,-739.00,-nan,-2.00,-nan,-2491.00,-nan,-6.00,-nan
500,-nan,-nan,-nan,-nan,2548.00,-nan,5.00,-nan,-3596.00,-nan,-7.00,-nan,-939.00,-nan,-2.00,-nan,-3091.00,-nan,-6.00,-nan
600,-nan,-nan,-nan,-nan,3048.00,-nan,5.00,-nan,-4296.00,-nan,-7.00,-nan,-1139.00,-nan,-2.00,-nan,-3691.00,-nan,-6.00,-nan
700,-nan,-nan,-nan,-nan,3548.00,-nan,5.00,-nan,-4996.00,-nan,-7.00,-nan,-1339.00,-nan,-2.00,-nan,-4291.00,-nan,-6.00,-nan
800,-nan,-nan,-nan,-nan,4048.00,-nan,5.00,-nan,-5696.00,-nan,-7.00,-nan,-1539.00,-nan,-2.00,-nan,-4891.00,-nan,-6.00,-nan
900,-nan,-nan,-nan,-nan,4548.00,-nan,5.00,-nan,-6396.00,-nan,-7.00,-nan,-1739.00,-nan,-2.00,-nan,-5491.00,-nan,-6.00,-nan
