i,x,y,vx,vy,ax,ay,fx,fy
0,16.318649,3.988027,0.863753,-0.104714,-1.296404,-0.680325,-1.296404,-0.680325
1,2.833886,2.582461,0.970735,-2.536099,1.007156,2.853483,1.007156,2.853483
2,13.281362,18.025238,0.802827,0.120145,-0.297316,0.113408,-0.297316,0.113408
3,5.873768,0.115094,-0.569343,0.587437,3.228720,-4.481173,3.228720,-4.481173
4,3.669981,18.138058,-0.575636,0.905703,9.099466,12.587843,9.099466,12.587843
5,8.319822,7.614840,0.907991,-1.165427,-0.519896,0.392196,-0.519896,0.392196
6,9.537709,16.952663,1.467943,-0.316203,-1.287431,-1.874429,-1.287431,-1.874429
7,17.340338,16.004601,1.161880,0.025862,0.907542,0.005668,0.907542,0.005668
8,3.874203,3.405246,-0.592659,1.440679,-1.107306,-1.511834,-1.107306,-1.511834
9,10.231129,2.757452,2.062458,0.313602,-1.842060,0.971789,-1.842060,0.971789
10,10.328714,19.321305,1.067435,1.016489,0.361446,0.120808,0.361446,0.120808
11,11.548387,4.677060,-1.375528,-1.037772,-1.203938,-0.788275,-1.203938,-0.788275
12,4.319151,10.312494,0.995801,0.948610,-0.009016,-0.200920,-0.009016,-0.200920
13,4.836041,19.077319,-0.756057,0.449290,-0.396827,0.739420,-0.396827,0.739420
14,13.977319,5.964066,0.778324,0.562748,14.465203,11.182971,14.465203,11.182971
15,9.099391,2.145460,-1.014799,-0.459045,1.930273,-0.222958,1.930273,-0.222958
16,2.110824,3.700718,2.015476,-0.359307,3.725220,-4.924663,3.725220,-4.924663
17,17.427696,6.700586,1.127800,-0.939918,-0.723923,-0.393481,-0.723923,-0.393481
18,14.854054,4.005022,-0.547743,0.072381,-0.231671,0.370402,-0.231671,0.370402
19,7.828872,10.610344,-1.962101,-0.395935,-4.156738,0.812044,-4.156738,0.812044
20,1.485398,8.027239,-1.746223,-0.125024,-0.117879,-1.789094,-0.117879,-1.789094
21,18.674419,2.670725,-0.726778,-1.125343,1.642327,0.182897,1.642327,0.182897
22,6.409147,7.999052,1.214982,0.020041,0.222326,0.276120,0.222326,0.276120
23,0.231933,1.904426,0.510114,-0.262722,-1.116604,1.733335,-1.116604,1.733335
24,11.081713,9.675587,-0.072818,-1.065720,-11.649647,-1.893485,-11.649647,-1.893485
25,5.178781,0.923097,0.387938,-0.184390,-5.604296,5.538250,-5.604296,5.538250
26,1.025724,10.277146,0.142622,0.763806,0.351475,-0.506106,0.351475,-0.506106
27,17.999533,5.060192,-1.248466,1.657657,0.749844,-0.796845,0.749844,-0.796845
28,0.314384,16.513179,0.139822,2.675790,0.208225,-2.388531,0.208225,-2.388531
29,4.056146,5.934673,0.368861,-0.456890,1.325141,-1.833576,1.325141,-1.833576
30,1.602004,4.654770,-1.414571,-0.407773,5.606530,17.249904,5.606530,17.249904
31,8.369138,15.581811,1.357474,-1.067601,2.357171,1.096116,2.357171,1.096116
32,2.298824,18.133135,0.091966,1.668665,0.399501,3.451603,0.399501,3.451603
33,3.942817,16.944711,-0.920220,1.030648,29.772553,-10.897023,29.772553,-10.897023
34,12.022787,19.282509,0.080608,0.809550,-0.273963,-0.275573,-0.273963,-0.275573
35,18.910449,10.092766,-0.432614,0.337818,-1.333958,1.201755,-1.333958,1.201755
36,13.110040,11.101600,1.374644,1.698887,-2.146263,-4.169683,-2.146263,-4.169683
37,13.253533,13.718977,0.557618,-0.807927,-1.671302,0.095323,-1.671302,0.095323
38,0.225021,3.066860,-0.657367,-0.831841,-3.581240,-2.727838,-3.581240,-2.727838
39,18.728758,1.372705,-0.706538,1.396226,0.729309,2.409441,0.729309,2.409441
40,18.884672,15.692900,-0.255555,-0.879639,-0.048087,0.494682,-0.048087,0.494682
41,18.926702,13.314474,-0.396840,0.968106,-1.145089,-0.072439,-1.145089,-0.072439
42,13.562449,7.674620,1.605701,-1.018372,-0.896102,-0.207806,-0.896102,-0.207806
43,9.667844,15.573775,-1.139970,1.815060,-1.956262,1.191080,-1.956262,1.191080
44,5.633926,6.111810,-1.318293,0.104594,-0.256480,-1.111267,-0.256480,-1.111267
45,3.775300,19.492026,-0.491635,-1.778703,-0.683722,-0.518466,-0.683722,-0.518466
46,10.339528,4.086001,1.149653,0.178021,1.596497,-1.235961,1.596497,-1.235961
47,16.006841,2.434976,-0.006722,1.398274,-0.115514,0.123559,-0.115514,0.123559
48,15.868391,6.609074,-0.223580,-1.074740,0.749887,0.339442,0.749887,0.339442
49,5.101217,15.939211,1.476660,-1.243953,-0.808517,0.713598,-0.808517,0.713598
50,18.927814,17.860714,-0.391005,-0.255656,-1.102931,0.724494,-1.102931,0.724494
51,7.120135,11.944317,0.657924,-0.328268,1.851066,-1.104952,1.851066,-1.104952
52,8.573098,12.067834,1.554664,0.127669,-1.650256,-0.834564,-1.650256,-0.834564
53,19.337667,8.555124,1.068970,-1.681272,-0.054593,0.411927,-0.054593,0.411927
54,15.695372,9.652464,-0.868092,-1.274259,0.934448,-2.158433,0.934448,-2.158433
55,2.624616,6.871491,1.909113,-0.433178,-1.629272,-0.526212,-1.629272,-0.526212
56,6.544509,1.422012,1.616283,1.017130,-1.953466,-1.628809,-1.953466,-1.628809
57,13.433421,12.127508,1.084294,0.343636,0.128287,4.870156,0.128287,4.870156
58,0.783969,15.356896,0.013033,-0.232233,-0.750999,-0.008688,-0.750999,-0.008688
59,18.972246,19.429393,-0.131558,1.139561,-0.140244,-0.762001,-0.140244,-0.762001
60,1.007352,3.818435,-1.318096,0.478136,-8.224319,-8.402836,-8.224319,-8.402836
61,18.641735,11.329286,-1.134180,1.036670,0.422928,-2.255722,0.422928,-2.255722
62,19.605396,7.458047,-0.961219,1.410225,1.442520,-0.482020,1.442520,-0.482020
63,4.608504,8.314822,-1.094295,0.970769,0.253456,0.019570,0.253456,0.019570
64,6.826478,9.994229,0.010607,-0.055992,2.641340,0.323196,2.641340,0.323196
65,19.886529,4.681408,-0.475425,2.283952,0.894317,-0.964504,0.894317,-0.964504
66,2.337845,9.277298,0.936736,1.137310,-1.045154,-0.571236,-1.045154,-0.571236
67,15.673144,0.907340,-0.988415,-0.219673,0.208786,0.897839,0.208786,0.897839
68,11.908013,12.275596,0.005566,0.770306,1.531637,-0.269611,1.531637,-0.269611
69,12.105219,9.827977,-0.391687,-1.663151,12.218666,2.010930,12.218666,2.010930
70,4.561835,4.781081,-1.435048,-0.405767,-0.242292,1.554417,-0.242292,1.554417
71,2.345376,19.556162,1.248534,1.545122,1.889327,-1.649400,1.889327,-1.649400
72,17.439710,13.317235,-1.563383,0.985298,1.262489,-0.023722,1.262489,-0.023722
73,17.478429,9.689186,-1.433451,-0.913319,0.811460,0.250356,0.811460,0.250356
74,8.986850,0.693499,-0.003655,-0.982576,0.257571,1.233824,0.257571,1.233824
75,12.077208,14.416967,0.406361,-1.799551,1.032187,-0.168502,1.032187,-0.168502
76,13.480867,4.332084,-1.103539,0.194297,3.747013,-7.216248,3.747013,-7.216248
77,13.357994,15.971547,0.919313,-0.128525,-0.567386,-0.078327,-0.567386,-0.078327
78,18.860451,3.877600,0.780139,-1.870601,1.460335,-0.337438,1.460335,-0.337438
79,13.177682,5.341036,-0.711513,1.177426,-17.029456,-4.086975,-17.029456,-4.086975
80,0.989024,6.928963,-0.088452,-0.437659,0.453667,-1.127103,0.453667,-1.127103
81,4.559709,13.320063,1.581462,0.963877,-1.047639,-0.218849,-1.047639,-0.218849
82,0.996500,14.089639,-0.066393,0.518669,-0.444776,2.264268,-0.444776,2.264268
83,6.410484,18.499002,1.203604,-1.564388,-0.694127,0.655017,-0.694127,0.655017
84,4.414156,2.037142,1.342529,-0.054455,-0.284382,-1.400504,-0.284382,-1.400504
85,1.516017,5.855149,-1.898097,-0.444317,0.704974,0.248927,0.704974,0.248927
86,3.857615,0.654735,-0.386954,-1.411687,2.286066,-0.545920,2.286066,-0.545920
87,7.659302,9.210191,-1.023013,1.176079,1.201742,2.853873,1.201742,2.853873
88,12.078690,8.012327,0.404833,0.053473,0.948027,0.278780,0.948027,0.278780
89,17.463008,18.019298,-1.455900,0.049787,1.385763,-0.223284,1.385763,-0.223284
90,16.020597,8.390711,0.058478,1.235486,-0.394363,1.826612,-0.394363,1.826612
91,3.076824,13.001610,0.399007,0.045978,1.008003,0.248201,1.008003,0.248201
92,10.328628,14.091770,1.011984,0.437972,0.143077,0.780760,0.143077,0.780760
93,7.288987,5.964491,0.911882,-0.139185,-0.785390,0.053526,-0.785390,0.053526
94,0.407462,5.908322,1.606558,-0.094750,-0.534425,-0.275051,-0.534425,-0.275051
95,8.079319,17.128373,0.459415,0.185807,1.432079,-0.999852,1.432079,-0.999852
96,8.653836,9.902141,-0.290938,-1.481717,-0.075662,-3.080726,-0.075662,-3.080726
97,3.038704,17.333378,0.245522,-0.294693,-37.302247,-1.080635,-37.302247,-1.080635
98,6.115738,4.586749,0.303293,-1.016035,-0.971969,1.130035,-0.971969,1.130035
99,11.607225,15.915278,-1.054825,-0.422759,0.415762,-0.899969,0.415762,-0.899969
