//CSV contenant les positions et les vitesses de N=5 particules évoluant dans un espace infini durant T=1000 tours.
//Chaque particule est décrite à chaque tour par sa position x et y et sa vitesse vx et vy (ex pour la particule 0 : x0,y0,vx0,vy0).

Tour,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4
0,27.00,54.00,-1.00,0.00,5.00,48.00,1.00,-1.00,73.00,83.00,-1.00,1.00,91.00,37.00,1.00,0.00,-88.00,-81.00,-1.00,0.00
100,-94776540549496.44,-24799981527961.75,-47388270274748.22,-12399990763980.88,-9.29,-1.15,-4.65,-0.57,-3806.78,-661.77,-3806.78,-661.77,-0.32,-0.04,-0.32,-0.04,-1613552913.86,-7670648.94,-1613552913.86,-7670648.94
200,38.61,95.18,19.31,47.59,-342228.21,139118.01,-171114.10,69559.00,4167352306661165568.00,-4067219110852023296.00,1041838076665291392.00,-1016804777713005824.00,-94462403777376.97,144563555855381.94,-23615600944344.24,36140888963845.48,0.00,0.00,0.00,0.00
300,-1444.78,13898.86,-722.39,6949.43,978981703125.05,-3162208263331.52,139854529017.86,-451744037618.79,5423784790933465088.00,-29376220748581699584.00,1807928263644488448.00,-9792073582860566528.00,-0.00,-0.00,-0.00,-0.00,-503.65,-1413.13,-251.83,-706.56
400,-12138566.42,3402027.26,-12138566.42,3402027.26,-224090375.99,135018751.38,-28011297.00,16877343.92,-4634770.20,1291760.55,-1158692.55,322940.14,250539.42,-75443.30,50107.88,-15088.66,-0.00,0.00,-0.00,0.00
500,273995408.43,-145310375.82,68498852.11,-36327593.96,-18.33,4.53,-6.11,1.51,-0.00,0.00,-0.00,0.00,0.14,-0.03,0.04,-0.01,-848.65,383.81,-282.88,127.94
600,75459312657060.28,-1074777073489357.38,18864828164265.07,-268694268372339.34,-0.00,0.00,-0.00,0.00,-0.14,0.04,-0.07,0.02,37544485474435976.00,100358702105265760.00,7508897094887194.00,20071740421053152.00,-178675481830205.50,24697556127318.43,-35735096366041.10,4939511225463.69
700,3616199978548654.50,9174980878945408.00,3616199978548654.50,9174980878945408.00,0.00,0.00,0.00,0.00,-362603129745742.88,225527331489977.06,-72520625949148.58,45105466297995.41,-2425148169.59,-1380309801.14,-346449738.51,-197187114.45,1496354645170718.50,-888345713139919.62,249392440861786.41,-148057618856653.25
800,1.07,0.43,0.27,0.11,-1.13,-0.45,-1.13,-0.45,16.13,0.06,3.23,0.01,63996.44,6479.18,21332.15,2159.73,-0.01,-0.00,-0.01,-0.00
900,-546299.50,-1272611.22,-91049.92,-212101.87,156732613865847778181120.00,295319512385426456313856.00,78366306932923889090560.00,147659756192713228156928.00,-213600404232179515392.00,-773940120564527792128.00,-53400101058044878848.00,-193485030141131948032.00,0.17,-0.10,0.17,-0.10,-0.09,0.05,-0.09,0.05
