particule,x,y,vx,vy
0,130911026311288077652655603712.00,-39599219165638069294800568320.00,327277565778220229865766912.00,-98998047914095169801027584.00
1,-158154731703.80,126706908124.87,-131795609.75,105589090.10
2,5564116739280.66,-10030556781354.00,4636763949.40,-8358797317.80
3,8484292055020264.00,-697054703989859328.00,9426991172244.74,-774505226655399.00
4,-5871148.18,-43885611.82,-3914.10,-29257.07
5,-71217563279069.84,29142140858498.02,-71217563279.07,29142140858.50
6,-5215192940620968624128.00,9191341773421769916416.00,-10430385881241937920.00,18382683546843541504.00
7,-322876454490890240000.00,-34920473017216364544.00,-3228764544908902400.00,-349204730172163712.00
8,-2367702066819287040.00,496872124624226048.00,-1691215762013776.75,354908660445875.75
9,168524171800.95,-28263520945.28,120374408.43,-20188229.25
10,353781.89,-183505.24,272.14,-141.16
11,-994014170827034984448.00,3050151463065831866368.00,-828345142355862528.00,2541792885888193536.00
12,49869131179901379936256.00,-77995407016156704276480.00,62336413974876725248.00,-97494258770195890176.00
13,3248270604106568539201077248.00,-5921341185526607253291925504.00,10827568680355230067458048.00,-19737803951755355735719936.00
14,-6164881499370913005568.00,-3091775187055347761152.00,-20549604997903044608.00,-10305917290184493056.00
15,36.54,906.54,0.02,0.60
16,-0.06,0.01,-0.00,0.00
17,141113292566027534336.00,114949151899825455104.00,176391615707534432.00,143686439874781808.00
18,-200.28,1915.01,-0.11,1.06
19,-15.71,-3.68,-0.01,-0.00
20,465315461607865792.00,-266621280214190336.00,581644327009832.25,-333276600267738.00
21,-59911327.64,19997237.27,-46085.64,15382.49
22,33814234105938505728.00,16106173243949797376.00,26010949312260388.00,12389364033807534.00
23,11746567789236979712.00,3339956637363146752.00,58732838946184896.00,16699783186815734.00
24,252183.08,-893028.64,279.25,-989.74
25,3.08,-2.01,-231402128448816319005982720.00,116250757116978320520511488.00
26,-2320695395500.40,-2702632979822.06,-1657639568.21,-1930452128.44
27,-2921104961772750762988898615296.00,-8983519771742072841997224247296.00,-9737016539242502924460359680.00,-29945065905806909121480359936.00
28,1.16,1.85,-497107298462420941850804224.00,-793085186086048251315748864.00
29,651280419463136629089376403456.00,-574211505421348271191450714112.00,6512804194631366774678880256.00,-5742115054213482579973111808.00
30,483.42,-1082.37,0.35,-0.77
31,-119856930624.47,-223683788645.11,-79904620.42,-149122525.76
32,76662765580906.00,197292745774172.00,76662765580.91,197292745774.17
33,-2202114.42,-6824141.35,-1295.36,-4014.20
34,-43407994.30,33069632.98,-27130.00,20668.52
35,162331842.79,-112103417.43,221884.38,-157102.53
36,-19710558.19,765783.45,-21895.68,850.89
37,-104762586048.16,-201397267266.00,-74830418.61,-143855190.90
38,-1591529754.44,2160433010.96,-1136806.97,1543166.44
39,-178224211355333.41,-121606504612639.80,-137095547196.41,-93543465086.65
40,115983030917239.31,166802081026633.66,82845022083.74,119144343590.45
41,24974491.27,16491290.09,17838.92,11779.49
42,7469535324753.49,84599781641.13,5745796403.66,65076755.11
43,-0.00,-0.00,761746658487276.88,2948959243068549.50
44,16291296497213480960.00,34775399282600665088.00,14810269542921346.00,31613999347818792.00
45,-1687277779970929664.00,-2647440211006966784.00,-1533888890882663.75,-2406763828188151.50
46,-66771618966901.47,-187414747609297.84,-66771618966.90,-187414747609.30
47,-19067.73,-26001.20,-11.22,-15.29
48,-40851253.99,119082264.25,-40851.25,119082.26
49,-77986614404733132053938176.00,173119931162863433118908416.00,-111409449149618771197952.00,247314187375519190745088.00
50,17357063215693532.00,-108944729426740208.00,12397902296923.95,-77817663876243.02
51,1474178493393573.00,-3596129184761125.50,1340162266721.43,-3269208349782.84
52,1390383808846674941322763173888.00,-760378105263341213188255383552.00,1544870898718528002118909952.00,-844864561403712426112712704.00
53,323.31,150.23,0.25,0.12
54,200.88,-114.97,0.12,-0.07
55,-11546484056667090583552.00,2086529556732980232192.00,-12829426729630101504.00,2318366174147755520.00
56,12694651522304.88,25040816606084.52,8463101014.87,16693877737.39
57,986.26,66.72,0.55,0.04
58,31.57,242.58,0.03,0.20
59,11784699132528508.00,5392493446253637.00,19641165220880.85,8987489077089.39
60,-482055747554799.56,9494901429686050.00,-401713122962.33,7912417858071.71
61,-408560037772710.56,1719904208563893.50,-680933158274.77,2866506789333.46
62,-21520171452050746376192.00,22564618181823527124992.00,-30743102074358206464.00,32235168831176470528.00
63,-17179050684.26,675498655.04,-9543917.05,375277.03
64,26531772211811209089783980621824.00,66350266774511980186659375284224.00,66329430529528019909710184448.00,165875666936279947651898671104.00
65,-1534742.76,-5584728.12,-1180.57,-4295.94
66,-647837136808345075712.00,-265027487105987084288.00,-925481624011921536.00,-378610695865695936.00
67,-0.00,0.00,1568153012.38,-154594646.52
68,0.20,-1.33,0.00,-0.00
69,-154481639495133888.00,160546119888173472.00,-128734699579278.25,133788433240144.55
70,353040.79,256426.56,207.67,150.84
71,305.97,-139.03,0.16,-0.07
72,40.25,-9.21,0.02,-0.00
73,-6860228.12,-23826388.28,-4900.16,-17018.85
74,-0.01,0.00,4008.10,-1319.13
75,56258.81,4273.26,56.26,4.27
76,-0.00,0.00,-1270979750697724.25,-15143608868771436.00
77,-26723234247909.74,-8263234956778.02,-17815489498.61,-5508823304.52
78,77.29,-29.12,0.05,-0.02
79,28034980638.66,-32554707563.84,20024986.17,-23253362.55
80,-16235708160.06,-38977625090.96,-20294635.20,-48722031.36
81,8882926248906040320.00,2344541369128994816.00,796382341063216192273568868432688971776.00,232324213429140354030630504224673234944.00
