//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 100 particules pendant T = 100 tours.
// Ce CSV contient 100 tours sur les 100.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy
//////////////////////////////////////////////////////
###### Tour 0 ######
0,75.00,66.00,0.00,-1.00
1,65.00,78.00,-1.00,0.00
2,67.00,44.00,-1.00,-1.00
3,35.00,-95.00,-1.00,-1.00
4,-26.00,58.00,0.00,-1.00
5,71.00,-71.00,-1.00,-1.00
6,26.00,85.00,-1.00,0.00
7,37.00,-12.00,0.00,0.00
8,-96.00,23.00,0.00,0.00
9,-50.00,-69.00,-1.00,-1.00
10,25.00,-56.00,-1.00,0.00
11,100.00,-55.00,0.00,0.00
12,-98.00,-66.00,0.00,0.00
13,-37.00,48.00,0.00,-1.00
14,-18.00,49.00,0.00,-1.00
15,-64.00,-96.00,0.00,0.00
16,-22.00,-38.00,-1.00,0.00
17,-57.00,8.00,0.00,0.00
18,2.00,61.00,-1.00,0.00
19,-95.00,40.00,-1.00,-1.00
20,24.00,42.00,0.00,0.00
21,-61.00,-64.00,0.00,0.00
22,35.00,53.00,0.00,-1.00
23,57.00,18.00,-1.00,-1.00
24,80.00,-80.00,-1.00,-1.00
25,29.00,-93.00,0.00,0.00
26,18.00,-33.00,0.00,-1.00
27,57.00,6.00,-1.00,0.00
28,-53.00,-40.00,-1.00,0.00
29,-54.00,-7.00,-1.00,-1.00
30,-55.00,-55.00,0.00,-1.00
31,14.00,64.00,0.00,0.00
32,84.00,100.00,-1.00,-1.00
33,57.00,6.00,-1.00,-1.00
34,23.00,-75.00,-1.00,0.00
35,31.00,29.00,-1.00,-1.00
36,89.00,26.00,0.00,-1.00
37,69.00,-28.00,-1.00,-1.00
38,-33.00,-83.00,-1.00,0.00
39,81.00,-49.00,0.00,-1.00
40,-50.00,-60.00,-1.00,0.00
41,46.00,-81.00,0.00,-1.00
42,-56.00,-20.00,0.00,-1.00
43,-92.00,58.00,-1.00,0.00
44,-67.00,-82.00,0.00,-1.00
45,-10.00,-2.00,-1.00,0.00
46,16.00,29.00,-1.00,0.00
47,31.00,12.00,0.00,-1.00
48,52.00,88.00,0.00,0.00
49,57.00,-30.00,0.00,-1.00
50,51.00,15.00,-1.00,-1.00
51,-78.00,81.00,0.00,0.00
52,49.00,-62.00,0.00,0.00
53,-13.00,-80.00,-1.00,0.00
54,0.00,-66.00,-1.00,-1.00
55,47.00,-41.00,-1.00,-1.00
56,97.00,-51.00,0.00,-1.00
57,19.00,13.00,-1.00,-1.00
58,79.00,-70.00,0.00,0.00
59,61.00,-66.00,0.00,-1.00
60,-77.00,-38.00,0.00,0.00
61,-17.00,-55.00,-1.00,-1.00
62,-71.00,-40.00,-1.00,0.00
63,-31.00,23.00,-1.00,-1.00
64,22.00,-30.00,0.00,0.00
65,84.00,-28.00,0.00,0.00
66,3.00,39.00,-1.00,-1.00
67,24.00,18.00,-1.00,-1.00
68,31.00,-79.00,0.00,-1.00
69,-84.00,69.00,-1.00,-1.00
70,79.00,-42.00,0.00,-1.00
71,31.00,46.00,-1.00,0.00
72,-84.00,-69.00,-1.00,0.00
73,4.00,55.00,-1.00,0.00
74,-6.00,23.00,0.00,0.00
75,-59.00,-7.00,0.00,-1.00
76,14.00,71.00,-1.00,-1.00
77,-11.00,81.00,-1.00,-1.00
78,-62.00,-2.00,-1.00,-1.00
79,-56.00,29.00,0.00,-1.00
80,60.00,16.00,0.00,0.00
81,-29.00,71.00,-1.00,0.00
82,-7.00,-10.00,-1.00,0.00
83,83.00,-4.00,0.00,0.00
84,-84.00,40.00,0.00,-1.00
85,20.00,-97.00,-1.00,0.00
86,2.00,38.00,-1.00,-1.00
87,-34.00,49.00,-1.00,-1.00
88,-35.00,-85.00,-1.00,-1.00
89,86.00,9.00,0.00,0.00
90,99.00,-18.00,0.00,-1.00
91,28.00,18.00,-1.00,0.00
92,-42.00,-96.00,0.00,0.00
93,-92.00,-80.00,0.00,-1.00
94,58.00,-87.00,-1.00,-1.00
95,62.00,-39.00,0.00,0.00
96,-74.00,39.00,0.00,0.00
97,98.00,-38.00,-1.00,-1.00
98,-6.00,2.00,-1.00,0.00
99,-80.00,55.00,-1.00,-1.00
###### Tour 1 ######
0,0.75,-0.34,0.00,-0.01
1,-0.35,0.78,-0.01,-0.00
2,-0.33,-0.56,-0.01,-0.01
3,-0.65,-1.95,-0.01,-0.01
4,-0.26,-0.42,0.00,-0.01
5,-0.29,-1.71,-0.01,-0.01
6,-0.74,0.85,-0.01,0.00
7,0.37,-0.12,0.00,-0.00
8,-0.96,0.23,-0.00,-0.00
9,-1.50,-1.69,-0.01,-0.01
10,-0.75,-0.56,-0.01,0.00
11,1.00,-0.55,0.00,-0.00
12,-0.98,-0.66,-0.00,0.00
13,-0.37,-0.52,-0.01,-0.01
14,-0.18,-0.51,0.00,-0.01
15,-0.64,-0.96,0.00,-0.00
16,-1.22,-0.38,-0.01,0.00
17,-0.57,0.08,0.00,0.00
18,-0.98,0.61,-0.01,0.00
19,-1.95,-0.60,-0.01,-0.01
20,0.24,0.42,-0.00,-0.00
21,-0.61,-0.64,-0.00,-0.00
22,0.35,-0.47,0.00,-0.01
23,-0.43,-0.82,-0.01,-0.01
24,-0.20,-1.80,-0.01,-0.01
25,0.29,-0.93,0.00,0.00
26,0.18,-1.33,-0.00,-0.01
27,-0.43,0.06,-nan,-nan
28,-1.53,-0.40,-0.01,0.00
29,-1.54,-1.07,-0.01,-0.01
30,-0.55,-1.55,-0.00,-0.01
31,0.14,0.64,0.00,-0.00
32,-0.16,0.00,-0.01,-0.01
33,-0.43,-0.94,-0.01,-0.01
34,-0.77,-0.75,-0.01,0.00
35,-0.69,-0.71,-0.01,-0.01
36,0.89,-0.74,0.00,-0.01
37,-0.31,-1.28,-0.01,-0.01
38,-1.33,-0.83,0.00,0.01
39,0.81,-1.49,0.00,-0.01
40,-1.50,-0.60,-0.01,0.00
41,0.46,-1.81,-0.00,-0.01
42,-0.56,-1.20,0.00,-0.01
43,-1.92,0.58,-0.01,-0.00
44,-0.67,-1.82,0.00,-0.01
45,-1.10,-0.02,-0.01,-0.00
46,-0.84,0.29,-0.01,0.00
47,0.31,-0.88,0.00,-0.01
48,0.52,0.88,0.00,0.00
49,0.57,-1.30,-0.00,-0.01
50,-0.49,-0.85,-0.01,-0.01
51,-0.78,0.81,0.00,0.00
52,0.49,-0.62,-0.00,0.00
53,-1.13,-0.80,-0.01,-0.00
54,-1.00,-1.66,-0.01,-0.01
55,-0.53,-1.41,-0.01,-0.01
56,0.97,-1.51,-0.00,-0.01
57,-0.81,-0.87,-0.01,-0.01
58,0.79,-0.70,0.00,-0.00
59,0.61,-1.66,0.00,-0.01
60,-0.77,-0.38,-0.00,0.00
61,-1.17,-1.55,-0.01,-0.01
62,-1.71,-0.40,-0.01,0.00
63,-1.31,-0.77,-0.01,-0.01
64,0.22,-0.30,0.00,-0.00
65,0.84,-0.28,-0.00,0.00
66,-0.97,-0.61,1.12,1.11
67,-0.76,-0.82,-0.01,-0.01
68,0.31,-1.79,0.00,-0.01
69,-1.84,-0.31,-0.01,-0.01
70,0.79,-1.42,0.00,-0.01
71,-0.69,0.46,-0.01,0.00
72,-1.84,-0.69,-0.01,0.00
73,-0.96,0.55,-0.01,0.00
74,-0.06,0.23,-0.00,0.00
75,-0.59,-1.07,0.00,-0.01
76,-0.86,-0.29,-0.01,-0.01
77,-1.11,-0.19,-0.01,-0.01
78,-1.62,-1.02,-0.01,-0.01
79,-0.56,-0.71,0.00,-0.01
80,0.60,0.16,-0.00,0.00
81,-1.29,0.71,-0.01,0.00
82,-1.07,-0.10,-0.01,-0.00
83,0.83,-0.04,-0.00,-0.00
84,-0.84,-0.60,-0.00,-0.01
85,-0.80,-0.97,-0.01,-0.00
86,-0.98,-0.62,-0.01,-0.01
87,-1.34,-0.51,-0.01,-0.01
