//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 10 particules pendant T = 100 tours.
// Ce CSV contient 10 tours sur les 100.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,-10.00,-99.00,0.00,1.00,0.00,0.00
1,62.00,3.00,1.00,-1.00,0.00,0.00
2,-54.00,-94.00,1.00,1.00,0.00,0.00
3,14.00,15.00,-1.00,-1.00,0.00,0.00
4,-56.00,-75.00,-1.00,-1.00,0.00,0.00
5,41.00,92.00,-1.00,1.00,0.00,0.00
6,82.00,-60.00,-1.00,0.00,0.00,0.00
7,53.00,-12.00,1.00,-1.00,0.00,0.00
8,-60.00,-54.00,-1.00,1.00,0.00,0.00
9,0.00,31.00,1.00,1.00,0.00,0.00
###### Tour 10 ######
0,-10.00,-98.90,0.00,1.00,0.00,-0.00
1,62.10,2.90,1.00,-1.00,0.00,0.00
2,-53.90,-93.90,1.00,1.00,0.00,-0.00
3,13.90,14.90,-1.00,-1.00,0.00,-0.00
4,-56.10,-75.10,-1.00,-1.00,-0.00,0.00
5,40.90,92.10,-1.00,1.00,0.00,0.00
6,81.90,-60.00,-1.00,-0.00,0.00,-0.00
7,53.10,-12.10,1.00,-1.00,-0.00,-0.00
8,-60.10,-53.90,-1.00,1.00,-0.00,0.00
9,0.10,31.10,1.00,1.00,-0.00,0.00
###### Tour 20 ######
0,-10.00,-98.80,0.00,1.00,0.00,-0.00
1,62.20,2.80,1.00,-1.00,0.00,0.00
2,-53.80,-93.80,1.00,1.00,0.00,-0.00
3,13.80,14.80,-1.00,-1.00,0.00,-0.00
4,-56.20,-75.20,-1.00,-1.00,-0.00,0.00
5,40.80,92.20,-1.00,1.00,0.00,0.00
6,81.80,-60.00,-1.00,-0.00,0.00,-0.00
7,53.20,-12.20,1.00,-1.00,-0.00,-0.00
8,-60.20,-53.80,-1.00,1.00,-0.00,0.00
9,0.20,31.20,1.00,1.00,-0.00,0.00
###### Tour 30 ######
0,-10.00,-98.70,0.00,1.00,0.00,-0.00
1,62.30,2.70,1.00,-1.00,0.00,0.00
2,-53.70,-93.70,1.00,1.00,0.00,-0.00
3,13.70,14.70,-1.00,-1.00,0.00,-0.00
4,-56.30,-75.30,-1.00,-1.00,-0.00,0.00
5,40.70,92.30,-1.00,1.00,0.00,0.00
6,81.70,-60.00,-1.00,-0.00,0.00,-0.00
7,53.30,-12.30,1.00,-1.00,-0.00,-0.00
8,-60.30,-53.70,-1.00,1.00,-0.00,0.00
9,0.30,31.30,1.00,1.00,-0.00,0.00
###### Tour 40 ######
0,-10.00,-98.60,0.00,1.00,0.00,-0.00
1,62.40,2.60,1.00,-1.00,0.00,0.00
2,-53.60,-93.60,1.00,1.00,0.00,-0.00
3,13.60,14.60,-1.00,-1.00,0.00,-0.00
4,-56.40,-75.40,-1.00,-1.00,-0.00,0.00
5,40.60,92.40,-1.00,1.00,0.00,0.00
6,81.60,-60.00,-1.00,-0.00,0.00,-0.00
7,53.40,-12.40,1.00,-1.00,-0.00,-0.00
8,-60.40,-53.60,-1.00,1.00,-0.00,0.00
9,0.40,31.40,1.00,1.00,-0.00,0.00
###### Tour 50 ######
0,-10.00,-98.50,0.00,1.00,0.00,-0.00
1,62.50,2.50,1.00,-1.00,0.00,0.00
2,-53.50,-93.50,1.00,1.00,0.00,-0.00
3,13.50,14.50,-1.00,-1.00,0.00,-0.00
4,-56.50,-75.50,-1.00,-1.00,-0.00,0.00
5,40.50,92.50,-1.00,1.00,0.00,0.00
6,81.50,-60.00,-1.00,-0.00,0.00,-0.00
7,53.50,-12.50,1.00,-1.00,-0.00,-0.00
8,-60.50,-53.50,-1.00,1.00,-0.00,0.00
9,0.50,31.50,1.00,1.00,-0.00,0.00
###### Tour 60 ######
0,-10.00,-98.40,0.00,1.00,0.00,-0.00
1,62.60,2.40,1.00,-1.00,0.00,0.00
2,-53.40,-93.40,1.00,1.00,0.00,-0.00
3,13.40,14.40,-1.00,-1.00,0.00,-0.00
4,-56.60,-75.60,-1.00,-1.00,-0.00,0.00
5,40.40,92.60,-1.00,1.00,0.00,0.00
6,81.40,-60.00,-1.00,-0.00,0.00,-0.00
7,53.60,-12.60,1.00,-1.00,-0.00,-0.00
8,-60.60,-53.40,-1.00,1.00,-0.00,0.00
9,0.60,31.60,1.00,1.00,-0.00,0.00
###### Tour 70 ######
0,-10.00,-98.30,0.00,1.00,0.00,-0.00
1,62.70,2.30,1.00,-1.00,0.00,0.00
2,-53.30,-93.30,1.00,1.00,0.00,-0.00
3,13.30,14.30,-1.00,-1.00,0.00,-0.00
4,-56.70,-75.70,-1.00,-1.00,-0.00,0.00
5,40.30,92.70,-1.00,1.00,0.00,0.00
6,81.30,-60.00,-1.00,-0.00,0.00,-0.00
7,53.70,-12.70,1.00,-1.00,-0.00,-0.00
8,-60.70,-53.30,-1.00,1.00,-0.00,0.00
9,0.70,31.70,1.00,1.00,-0.00,0.00
###### Tour 80 ######
0,-10.00,-98.20,0.00,1.00,0.00,-0.00
1,62.80,2.20,1.00,-1.00,0.00,0.00
2,-53.20,-93.20,1.00,1.00,0.00,-0.00
3,13.20,14.20,-1.00,-1.00,0.00,-0.00
4,-56.80,-75.80,-1.00,-1.00,-0.00,0.00
5,40.20,92.80,-1.00,1.00,0.00,0.00
6,81.20,-60.00,-1.00,-0.00,0.00,-0.00
7,53.80,-12.80,1.00,-1.00,-0.00,-0.00
8,-60.80,-53.20,-1.00,1.00,-0.00,0.00
9,0.80,31.80,1.00,1.00,-0.00,0.00
###### Tour 90 ######
0,-10.00,-98.10,0.00,1.00,0.00,-0.00
1,62.90,2.10,1.00,-1.00,0.00,0.00
2,-53.10,-93.10,1.00,1.00,0.00,-0.00
3,13.10,14.10,-1.00,-1.00,0.00,-0.00
4,-56.90,-75.90,-1.00,-1.00,-0.00,0.00
5,40.10,92.90,-1.00,1.00,0.00,0.00
6,81.10,-60.00,-1.00,-0.00,0.00,-0.00
7,53.90,-12.90,1.00,-1.00,-0.00,-0.00
8,-60.90,-53.10,-1.00,1.00,-0.00,0.00
9,0.90,31.90,1.00,1.00,-0.00,0.00
