//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 10000 tours.
// Ce CSV contient 1000 tours sur les 10000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
1,-2.00,-2.00,-1.00,0.00,0.00,0.00
2,-1.00,5.00,1.00,0.00,0.00,0.00
3,9.00,1.00,0.00,0.00,0.00,0.00
4,-10.00,-6.00,-1.00,-1.00,0.00,0.00
5,-6.00,-10.00,0.00,0.00,0.00,0.00
6,6.00,3.00,-1.00,-1.00,0.00,0.00
7,5.00,0.00,1.00,-1.00,0.00,0.00
8,6.00,-3.00,-1.00,0.00,0.00,0.00
9,-2.00,-1.00,1.00,-1.00,0.00,0.00
10,6.00,5.00,-1.00,-1.00,0.00,0.00
11,-4.00,5.00,1.00,-1.00,0.00,0.00
12,1.00,-10.00,0.00,-1.00,0.00,0.00
13,-10.00,4.00,1.00,0.00,0.00,0.00
14,-3.00,-8.00,1.00,0.00,0.00,0.00
15,-6.00,6.00,1.00,0.00,0.00,0.00
16,-7.00,5.00,0.00,0.00,0.00,0.00
17,-6.00,-3.00,-1.00,0.00,0.00,0.00
18,4.00,0.00,1.00,0.00,0.00,0.00
19,-5.00,-9.00,1.00,1.00,0.00,0.00
20,-9.00,-10.00,1.00,0.00,0.00,0.00
21,4.00,1.00,1.00,0.00,0.00,0.00
22,-5.00,-5.00,-1.00,0.00,0.00,0.00
23,-9.00,6.00,-1.00,0.00,0.00,0.00
24,1.00,9.00,-1.00,-1.00,0.00,0.00
25,9.00,3.00,1.00,-1.00,0.00,0.00
26,-7.00,2.00,-1.00,1.00,0.00,0.00
27,-5.00,6.00,0.00,0.00,0.00,0.00
28,7.00,-4.00,1.00,-1.00,0.00,0.00
29,-10.00,6.00,-1.00,-1.00,0.00,0.00
30,-6.00,9.00,1.00,1.00,0.00,0.00
31,0.00,-8.00,1.00,0.00,0.00,0.00
32,5.00,-10.00,-1.00,0.00,0.00,0.00
33,3.00,-9.00,0.00,1.00,0.00,0.00
34,-1.00,-6.00,0.00,-1.00,0.00,0.00
35,0.00,0.00,1.00,1.00,0.00,0.00
36,-4.00,9.00,0.00,1.00,0.00,0.00
37,-9.00,-8.00,1.00,-1.00,0.00,0.00
38,-10.00,-2.00,1.00,-1.00,0.00,0.00
39,-9.00,5.00,0.00,0.00,0.00,0.00
40,-6.00,1.00,1.00,-1.00,0.00,0.00
41,0.00,-4.00,1.00,1.00,0.00,0.00
42,-2.00,2.00,-1.00,0.00,0.00,0.00
