//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones.
// Simulation de N = 10 particules pendant T = 100 tours.
// Ce CSV contient 10 tours sur les 100.
// Les constantes sont normalisées ; espilon = 1, sigma = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,75.00,6.00,1.00,0.00,0.00,0.00
1,-87.00,-30.00,1.00,-1.00,0.00,0.00
2,47.00,-77.00,-1.00,-1.00,0.00,0.00
3,-24.00,61.00,-1.00,1.00,0.00,0.00
4,-25.00,0.00,-1.00,0.00,0.00,0.00
5,80.00,-53.00,1.00,0.00,0.00,0.00
6,65.00,15.00,-1.00,1.00,0.00,0.00
7,-91.00,26.00,1.00,0.00,0.00,0.00
8,83.00,-6.00,-1.00,0.00,0.00,0.00
9,15.00,-23.00,1.00,0.00,0.00,0.00
###### Tour 10 ######
0,75.10,6.00,1.00,-0.00,0.00,-0.00
1,-86.90,-30.10,1.00,-1.00,-0.00,-0.00
2,46.90,-77.10,-1.00,-1.00,-0.00,-0.00
3,-24.10,61.10,-1.00,1.00,0.00,0.00
4,-25.10,0.00,-1.00,0.00,-0.00,0.00
5,80.10,-53.00,1.00,0.00,0.00,0.00
6,64.90,15.10,-1.00,1.00,-0.00,0.00
7,-90.90,26.00,1.00,0.00,-0.00,0.00
8,82.90,-6.00,-1.00,-0.00,0.00,-0.00
9,15.10,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 20 ######
0,75.20,6.00,1.00,-0.00,0.00,0.00
1,-86.80,-30.20,1.00,-1.00,-0.00,-0.00
2,46.80,-77.20,-1.00,-1.00,-0.00,-0.00
3,-24.20,61.20,-1.00,1.00,0.00,0.00
4,-25.20,0.00,-1.00,0.00,-0.00,0.00
5,80.20,-53.00,1.00,0.00,0.00,0.00
6,64.80,15.20,-1.00,1.00,-0.00,0.00
7,-90.80,26.00,1.00,0.00,-0.00,0.00
8,82.80,-6.00,-1.00,-0.00,0.00,-0.00
9,15.20,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 30 ######
0,75.30,6.00,1.00,-0.00,0.00,0.00
1,-86.70,-30.30,1.00,-1.00,-0.00,-0.00
2,46.70,-77.30,-1.00,-1.00,-0.00,-0.00
3,-24.30,61.30,-1.00,1.00,0.00,0.00
4,-25.30,0.00,-1.00,0.00,-0.00,0.00
5,80.30,-53.00,1.00,0.00,0.00,0.00
6,64.70,15.30,-1.00,1.00,-0.00,0.00
7,-90.70,26.00,1.00,0.00,-0.00,0.00
8,82.70,-6.00,-1.00,-0.00,0.00,-0.00
9,15.30,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 40 ######
0,75.40,6.00,1.00,0.00,0.00,0.00
1,-86.60,-30.40,1.00,-1.00,-0.00,-0.00
2,46.60,-77.40,-1.00,-1.00,-0.00,-0.00
3,-24.40,61.40,-1.00,1.00,0.00,0.00
4,-25.40,0.00,-1.00,0.00,-0.00,0.00
5,80.40,-53.00,1.00,0.00,0.00,0.00
6,64.60,15.40,-1.00,1.00,-0.00,0.00
7,-90.60,26.00,1.00,0.00,-0.00,0.00
8,82.60,-6.00,-1.00,-0.00,0.00,-0.00
9,15.40,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 50 ######
0,75.50,6.00,1.00,0.00,0.00,0.00
1,-86.50,-30.50,1.00,-1.00,-0.00,-0.00
2,46.50,-77.50,-1.00,-1.00,-0.00,-0.00
3,-24.50,61.50,-1.00,1.00,0.00,0.00
4,-25.50,0.00,-1.00,0.00,-0.00,0.00
5,80.50,-53.00,1.00,0.00,0.00,0.00
6,64.50,15.50,-1.00,1.00,-0.00,0.00
7,-90.50,26.00,1.00,0.00,-0.00,0.00
8,82.50,-6.00,-1.00,-0.00,0.00,-0.00
9,15.50,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 60 ######
0,75.60,6.00,1.00,0.00,-0.00,0.00
1,-86.40,-30.60,1.00,-1.00,-0.00,-0.00
2,46.40,-77.60,-1.00,-1.00,-0.00,-0.00
3,-24.60,61.60,-1.00,1.00,0.00,0.00
4,-25.60,0.00,-1.00,0.00,-0.00,0.00
5,80.60,-53.00,1.00,0.00,0.00,-0.00
6,64.40,15.60,-1.00,1.00,-0.00,0.00
7,-90.40,26.00,1.00,0.00,-0.00,0.00
8,82.40,-6.00,-1.00,-0.00,0.00,-0.00
9,15.60,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 70 ######
0,75.70,6.00,1.00,0.00,-0.00,0.00
1,-86.30,-30.70,1.00,-1.00,-0.00,-0.00
2,46.30,-77.70,-1.00,-1.00,-0.00,-0.00
3,-24.70,61.70,-1.00,1.00,0.00,0.00
4,-25.70,0.00,-1.00,0.00,-0.00,0.00
5,80.70,-53.00,1.00,0.00,0.00,-0.00
6,64.30,15.70,-1.00,1.00,-0.00,0.00
7,-90.30,26.00,1.00,0.00,-0.00,0.00
8,82.30,-6.00,-1.00,-0.00,0.00,-0.00
9,15.70,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 80 ######
0,75.80,6.00,1.00,0.00,-0.00,0.00
1,-86.20,-30.80,1.00,-1.00,-0.00,-0.00
2,46.20,-77.80,-1.00,-1.00,-0.00,-0.00
3,-24.80,61.80,-1.00,1.00,0.00,0.00
4,-25.80,0.00,-1.00,0.00,-0.00,0.00
5,80.80,-53.00,1.00,0.00,0.00,-0.00
6,64.20,15.80,-1.00,1.00,-0.00,0.00
7,-90.20,26.00,1.00,0.00,-0.00,0.00
8,82.20,-6.00,-1.00,-0.00,0.00,-0.00
9,15.80,-23.00,1.00,-0.00,0.00,-0.00
###### Tour 90 ######
0,75.90,6.00,1.00,0.00,-0.00,0.00
1,-86.10,-30.90,1.00,-1.00,-0.00,-0.00
2,46.10,-77.90,-1.00,-1.00,-0.00,-0.00
3,-24.90,61.90,-1.00,1.00,0.00,0.00
4,-25.90,0.00,-1.00,0.00,-0.00,0.00
5,80.90,-53.00,1.00,0.00,0.00,-0.00
6,64.10,15.90,-1.00,1.00,-0.00,0.00
7,-90.10,26.00,1.00,0.00,-0.00,0.00
8,82.10,-6.00,-1.00,-0.00,0.00,-0.00
9,15.90,-23.00,1.00,-0.00,0.00,-0.00
