//////////////////////////////////////////////////////
// Potentiel de Lenard-Jones dans une boîte périodique 20 x 20.
// Simulation de N = 100 particules pendant T = 1000 tours.
// Ce CSV contient 1000 tours sur les 1000.
// Constantes : sigma^2 = 10, espilon = 1, m = 1.
// Description des colonnes : particule_i,x,y,vx,vy,ax,ay
//////////////////////////////////////////////////////
###### Tour 0 ######
0,-2.00,0.00,0.00,1.00,0.00,0.00
1,9.00,-9.00,1.00,-1.00,0.00,0.00
2,3.00,3.00,-1.00,0.00,0.00,0.00
3,-5.00,3.00,1.00,-1.00,0.00,0.00
4,-5.00,-5.00,-1.00,0.00,0.00,0.00
5,-10.00,4.00,0.00,1.00,0.00,0.00
6,6.00,3.00,-1.00,0.00,0.00,0.00
7,9.00,7.00,1.00,0.00,0.00,0.00
8,-3.00,8.00,0.00,0.00,0.00,0.00
9,1.00,-6.00,1.00,0.00,0.00,0.00
10,0.00,-1.00,1.00,0.00,0.00,0.00
11,-8.00,9.00,-1.00,1.00,0.00,0.00
12,6.00,1.00,0.00,-1.00,0.00,0.00
13,7.00,9.00,1.00,-1.00,0.00,0.00
14,2.00,0.00,1.00,-1.00,0.00,0.00
15,-3.00,5.00,0.00,1.00,0.00,0.00
16,-5.00,-2.00,-1.00,1.00,0.00,0.00
17,-5.00,-6.00,1.00,1.00,0.00,0.00
18,-5.00,-9.00,-1.00,-1.00,0.00,0.00
19,-9.00,-2.00,-1.00,-1.00,0.00,0.00
20,-10.00,-8.00,1.00,-1.00,0.00,0.00
21,-9.00,4.00,1.00,-1.00,0.00,0.00
22,-5.00,9.00,-1.00,0.00,0.00,0.00
23,4.00,-1.00,-1.00,0.00,0.00,0.00
24,-1.00,7.00,1.00,0.00,0.00,0.00
25,4.00,2.00,-1.00,1.00,0.00,0.00
26,-10.00,2.00,0.00,-1.00,0.00,0.00
27,4.00,-7.00,0.00,-1.00,0.00,0.00
28,7.00,-5.00,0.00,-1.00,0.00,0.00
29,-6.00,-8.00,-1.00,0.00,0.00,0.00
30,1.00,4.00,-1.00,0.00,0.00,0.00
31,1.00,0.00,1.00,0.00,0.00,0.00
32,5.00,7.00,-1.00,-1.00,0.00,0.00
33,-1.00,-10.00,1.00,-1.00,0.00,0.00
34,2.00,8.00,0.00,1.00,0.00,0.00
35,3.00,-6.00,-1.00,-1.00,0.00,0.00
36,-9.00,-7.00,-1.00,-1.00,0.00,0.00
37,-4.00,-10.00,0.00,0.00,0.00,0.00
38,5.00,1.00,1.00,0.00,0.00,0.00
39,3.00,-4.00,0.00,0.00,0.00,0.00
40,-7.00,3.00,0.00,1.00,0.00,0.00
41,-5.00,2.00,1.00,1.00,0.00,0.00
42,1.00,-3.00,0.00,1.00,0.00,0.00
43,-7.00,5.00,1.00,0.00,0.00,0.00
44,7.00,-8.00,1.00,-1.00,0.00,0.00
45,3.00,-5.00,1.00,0.00,0.00,0.00
46,5.00,-2.00,-1.00,-1.00,0.00,0.00
47,-7.00,8.00,-1.00,0.00,0.00,0.00
48,-3.00,7.00,1.00,0.00,0.00,0.00
49,9.00,-6.00,0.00,-1.00,0.00,0.00
50,4.00,6.00,1.00,1.00,0.00,0.00
51,-3.00,0.00,-1.00,1.00,0.00,0.00
52,-5.00,4.00,-1.00,-1.00,0.00,0.00
53,-8.00,-10.00,0.00,0.00,0.00,0.00
54,0.00,-4.00,0.00,1.00,0.00,0.00
55,-7.00,1.00,0.00,-1.00,0.00,0.00
56,7.00,-6.00,-1.00,-1.00,0.00,0.00
57,-9.00,9.00,-1.00,-1.00,0.00,0.00
58,5.00,0.00,-1.00,0.00,0.00,0.00
59,-10.00,-6.00,0.00,0.00,0.00,0.00
60,8.00,4.00,0.00,-1.00,0.00,0.00
61,-4.00,7.00,-1.00,-1.00,0.00,0.00
62,-7.00,4.00,1.00,0.00,0.00,0.00
63,7.00,3.00,1.00,0.00,0.00,0.00
64,0.00,-2.00,0.00,0.00,0.00,0.00
65,-10.00,-4.00,1.00,0.00,0.00,0.00
66,-2.00,-2.00,0.00,1.00,0.00,0.00
67,2.00,-3.00,-1.00,1.00,0.00,0.00
68,-7.00,-9.00,1.00,0.00,0.00,0.00
69,-3.00,-4.00,-1.00,-1.00,0.00,0.00
70,4.00,9.00,0.00,-1.00,0.00,0.00
71,7.00,1.00,1.00,0.00,0.00,0.00
72,1.00,-8.00,-1.00,-1.00,0.00,0.00
73,5.00,-4.00,1.00,0.00,0.00,0.00
74,9.00,4.00,-1.00,0.00,0.00,0.00
75,2.00,-4.00,0.00,-1.00,0.00,0.00
76,2.00,-2.00,-1.00,-1.00,0.00,0.00
77,-9.00,-3.00,1.00,0.00,0.00,0.00
78,-7.00,-8.00,0.00,-1.00,0.00,0.00
79,-6.00,8.00,0.00,0.00,0.00,0.00
80,6.00,-5.00,0.00,1.00,0.00,0.00
81,1.00,9.00,-1.00,1.00,0.00,0.00
82,7.00,-4.00,1.00,-1.00,0.00,0.00
83,4.00,7.00,-1.00,-1.00,0.00,0.00
84,-3.00,2.00,-1.00,1.00,0.00,0.00
85,1.00,-4.00,-1.00,0.00,0.00,0.00
86,-2.00,-6.00,1.00,0.00,0.00,0.00
87,-8.00,0.00,-1.00,-1.00,0.00,0.00
88,-3.00,-5.00,1.00,1.00,0.00,0.00
89,-6.00,-2.00,0.00,0.00,0.00,0.00
90,6.00,-8.00,0.00,-1.00,0.00,0.00
91,-4.00,-4.00,-1.00,-1.00,0.00,0.00
92,-6.00,-5.00,1.00,0.00,0.00,0.00
93,9.00,-7.00,-1.00,0.00,0.00,0.00
94,-9.00,0.00,-1.00,-1.00,0.00,0.00
95,8.00,-1.00,-1.00,0.00,0.00,0.00
96,-10.00,3.00,1.00,1.00,0.00,0.00
97,5.00,-9.00,-1.00,0.00,0.00,0.00
98,9.00,3.00,1.00,0.00,0.00,0.00
99,-1.00,8.00,1.00,0.00,0.00,0.00
###### Tour 1 ######
0,-2.00,0.00,-23987.68,-1.56,-479753688.55,-51212.25
1,9.00,-9.00,-0.18,5.29,-23514.05,125786.02
2,3.00,3.00,184.05,-186.50,3700910.04,-3730097.56
3,-5.00,3.00,23989.28,-378.51,479765506.02,-7550138.84
4,-5.00,-5.00,193.46,-23800.36,3889103.33,-476007229.17
5,-10.00,4.00,48163.06,-24180.00,963261100.84,-483619949.33
6,6.00,3.00,-188.91,-24180.18,-3758295.30,-483603601.14
7,9.00,7.00,-3.64,-0.35,-92896.42,-6950.93
8,-3.00,8.00,-183.64,-24178.47,-3672725.80,-483569324.60
9,1.00,-6.00,-23984.15,1.47,-479703026.90,29327.02
10,0.00,-1.00,188.05,-23801.85,3741042.90,-476037089.06
11,-8.00,9.00,-23985.27,-373.67,-479685336.00,-7493443.09
12,6.00,1.00,-374.09,3.24,-7481742.03,84765.29
13,7.00,9.00,-3.29,-2.20,-85837.51,-23976.75
14,2.00,-0.00,-47975.29,-4.98,-959525849.90,-79641.57
15,-3.00,5.00,373.26,-370.26,7465279.59,-7425115.24
16,-5.00,-2.00,-23988.07,23988.68,-479741476.26,479753675.55
17,-5.00,-6.00,5.32,24363.07,86403.99,487241365.86
18,-5.00,-9.00,183.77,24178.07,3695458.36,483581482.64
