i,x,y,vx,vy,ax,ay,fx,fy
0,17.449257,3.595405,0.589854,-0.512577,2.361963,1.900240,2.361963,1.900240
1,4.724372,1.799300,-0.182892,-1.338553,-1.237105,0.942189,-1.237105,0.942189
2,14.499588,18.202710,1.099798,0.047803,2.036123,-0.417637,2.036123,-0.417637
3,6.822911,19.952366,0.810220,0.203429,-0.296122,0.097303,-0.296122,0.097303
4,2.729607,17.559889,0.099343,0.605255,1.628108,1.826374,1.628108,1.826374
5,9.928256,6.184781,1.212874,-0.597102,0.032371,0.048534,0.032371,0.048534
6,12.340765,18.684626,1.822518,1.332197,0.251934,0.414096,0.251934,0.414096
7,19.006480,16.789795,0.774101,1.161950,1.622328,-1.859008,1.622328,-1.859008
8,3.892440,2.630727,0.132586,-1.407391,1.994262,-1.305190,1.994262,-1.305190
9,13.103243,4.269923,-0.164928,2.096189,1.721298,2.389034,1.721298,2.389034
10,11.004812,1.151101,0.126636,1.115409,-0.040221,-0.036416,-0.040221,-0.036416
11,11.749009,4.622149,0.361655,-0.225936,-4.072771,-19.732996,-4.072771,-19.732996
12,6.019071,11.417766,0.087158,0.859217,0.519935,-2.615307,0.519935,-2.615307
13,4.659134,19.030832,-1.065680,-1.155878,-4.871871,-3.873735,-4.871871,-3.873735
14,14.487231,5.168732,0.291150,0.935767,56.405131,-21.094542,56.405131,-21.094542
15,8.569593,0.993647,0.026698,-0.214200,0.465086,0.900096,0.465086,0.900096
16,1.466934,2.160410,-1.040221,-1.083363,-0.418079,-1.337748,-0.418079,-1.337748
17,16.477471,7.714844,-2.048424,-0.381876,5.689680,-4.823308,5.689680,-4.823308
18,14.230114,3.681425,0.832403,-1.932316,-4.936637,0.818236,-4.936637,0.818236
19,6.650091,10.282036,-0.247430,-1.536049,-2.442439,0.670462,-2.442439,0.670462
20,1.479184,8.173162,1.446131,0.591215,-27.857322,-15.823855,-27.857322,-15.823855
21,17.085792,1.784119,-0.477127,-1.912417,1.126845,-0.003486,1.126845,-0.003486
22,6.982801,8.389814,-1.568641,0.267067,0.388877,-0.059113,0.388877,-0.059113
23,1.333053,0.845265,0.209610,2.215603,2.130150,0.502729,2.130150,0.502729
24,11.077078,7.752026,0.494391,-0.632708,0.490116,1.802122,0.490116,1.802122
25,5.037488,0.044777,0.265413,-0.393926,0.737446,3.331160,0.737446,3.331160
26,1.444866,11.022387,1.079988,0.716817,17.085270,10.967867,17.085270,10.967867
