particule,x,y,vx,vy
0,9818326973346605876725728411648.00,-2969941437422855307061205401600.00,32727756577822019413163900928.00,-9899804791409517323700142080.00
1,-14497517072848.62,11614799911446.01,-13179560975.32,10558909010.41
2,510044034434060.88,-919467704957450.38,463676394940.06,-835879731779.50
3,754159293779579008.00,-61960418132431929344.00,942699117224473.62,-77450522665539904.00
4,-547973829.70,-4095990436.18,-391409.88,-2925707.45
5,-6409580695116289.00,2622792677264825.00,-7121756327906.95,2914214085849.77
6,-417215435249677506707456.00,735307341873741593313280.00,-1043038588124193751040.00,1838268354684354035712.00
7,-101195.61,395783.60,-322876454490890240000.00,-34920473017216368640.00
8,-219858049061790908416.00,46138125857963843584.00,-169121576201377664.00,35490866044587576.00
9,15648673095802.30,-2624469802061.84,12037440842.92,-2018822924.66
10,32656790.06,-16938945.35,27213.99,-14115.79
11,-91117965659144875671552.00,279597217447701269970944.00,-82834514235586248704.00,254179288588819333120.00
12,4363548978241370698285056.00,-6824598113913710936326144.00,6233641397487672492032.00,-9749425877019588034560.00
13,216551373607104589804288868352.00,-394756079035107129695244648448.00,1082756868035522938026328064.00,-1973780395175535659471339520.00
14,-410992099958060830687232.00,-206118345803689843752960.00,-2054960499790304247808.00,-1030591729018449297408.00
15,3410.63,84609.95,2.44,60.44
16,-5.37,1.36,-0.00,0.00
17,12347413099527408713728.00,10058050791234726789120.00,17639161570753441792.00,14368643987478179840.00
18,-18915.34,180861.62,-11.13,106.39
19,-1459.00,-341.53,-1.12,-0.26
20,40715102890688258048.00,-23329362018741653504.00,58164432700983224.00,-33327660026773800.00
21,-5530276397.43,1845898824.74,-4608563.66,1538249.02
22,3121313917471246778368.00,1486723684056904237056.00,2601094931226038784.00,1238936403380753408.00
23,587328389461849014272.00,166997831868157329408.00,5873283894618489856.00,1669978318681573376.00
24,22425830.64,-79405434.71,27924.77,-98974.29
25,-0.04,-0.08,3.08,-2.01
26,-215493143867894.31,-250958776697762.78,-165763956821.46,-193045212844.43
27,-194740330784850061374325704884224.00,-598901318116138189466481616486400.00,-973701653924250301242128990208.00,-2994506590580690947332408082432.00
28,-0.04,-0.07,1.16,1.85
29,17104.64,-16343.05,651280419463136629089376403456.00,-574211505421348271191450714112.00
30,44888.61,-100505.41,34.53,-77.31
31,-11186646858283.93,-20877153606877.20,-7990462041.63,-14912252576.34
32,6899648902281540.00,17756347119675482.00,7666276558090.60,19729274577417.20
33,-207257828.01,-642272127.46,-129536.14,-401420.08
34,-4069499465.55,3100278091.87,-2712999.64,2066852.06
35,14014340430.47,-9639316426.33,22188438.49,-15710253.17
36,-1752099052.04,68069455.48,-2189567.67,85088.89
37,-9727954418757.46,-18701174817556.75,-7483041860.58,-14385519090.43
38,-147784905769.19,200611636732.30,-113680696.75,154316643.64
39,-16451465663569236.00,-11225215810397520.00,-13709554719641.03,-9354346508664.60
40,10769852870886508.00,15488764666758840.00,8284502208374.24,11914434359045.26
41,2319059903.24,1531334079.35,1783892.23,1177949.29
42,689495568438783.75,7809210613027.85,574579640365.65,6507675510.86
43,-0.05,-0.08,-0.00,-0.00
44,1481026954292134674432.00,3161399934781878697984.00,1481026954292134656.00,3161399934781879296.00
45,-153388889088266338304.00,-240676382818815180800.00,-153388889088266368.00,-240676382818815136.00
46,-6009445707021132.00,-16867327284836806.00,-6677161896690.15,-18741474760929.79
47,-1794609.68,-2447172.07,-1121.63,-1529.48
48,-3676612858.78,10717403782.93,-4085125.40,11908226.43
49,-6684566948977125977671860224.00,14838851242531152313362415616.00,-11140944914961876314488832.00,24731418737551918403420160.00
50,1611727298600113664.00,-10116296303911589888.00,1239790229692395.25,-7781766387624302.00
51,134016226672143008.00,-326920834978284160.00,134016226672143.00,-326920834978284.19
52,123589671897482220008867589259264.00,-67589164912296992224245295611904.00,154487089871852794714332856320.00,-84486456140371245909806153728.00
53,29843.64,13867.30,24.87,11.56
54,18906.05,-10821.08,11.82,-6.76
55,-1026354138370408036958208.00,185469293931820451102720.00,-1282942672963010035712.00,231836617414775570432.00
56,1184834142081788.25,2337142883234555.00,846310101486.99,1669387773738.97
57,93146.63,6301.46,54.79,3.71
58,2893.74,22236.67,2.63,20.22
59,982058261044042368.00,449374453854469760.00,1964116522088084.75,898748907708939.50
60,-44188443525856624.00,870365964387888000.00,-40171312296233.30,791241785807170.88
61,-34046672194523368.00,143325352963054800.00,-68093315827476.88,286650678933345.50
62,-1844586124461492565704704.00,1934110129870587962589184.00,-3074310207435820761088.00,3223516883117646807040.00
63,-1622465897958.07,63797095197.86,-954391704.68,37527703.06
64,1989882915885840681733798546636800.00,4976270008088398153711482956677120.00,6632943052952802272445995155456.00,16587566693627992794865030135808.00
65,-141668562.88,-515513364.61,-118057.14,-429594.47
66,-55528897440715290705920.00,-22716641751941748097024.00,-92548162401192148992.00,-37861069586569592832.00
67,-0.32,0.05,-0.00,0.00
68,18.73,-126.27,0.01,-0.06
69,-14160816953720606720.00,14716727656415901696.00,-12873469957927824.00,13378843324014454.00
70,33227368.16,24134264.23,20767.11,15083.92
71,28986.81,-13171.05,16.10,-7.32
72,3812.79,-872.05,2.12,-0.48
73,-637021182.82,-2212450340.73,-490016.29,-1701884.88
74,-0.77,0.28,-0.00,0.00
75,5063292.56,384593.05,5625.88,427.33
76,-0.02,0.09,-0.00,0.00
77,-2494168529804909.00,-771235262632615.50,-1781548949860.65,-550882330451.87
78,7246.06,-2729.78,4.83,-1.82
79,2603248202161.63,-3022937130928.06,2002498617.05,-2325336254.56
80,-1420624464004.90,-3410542195458.94,-2029463520.01,-4872203136.37
81,-0.00,0.00,8882926248906040320.00,2344541369128994816.00
82,-9614226130102801924096000.00,-5789329041339185186734080.00,-13734608757289715236864.00,-8270470059055980216320.00
83,25757804.70,-3994873.78,15151.65,-2349.93
84,116857151561.43,115080859064.12,73035719.73,71925536.92
85,3276131041999637561965805568.00,5470122260768197746546966528.00,16380655209998187638030336.00,27350611303840989419929600.00
86,-207531.96,-106336.68,-115.30,-59.08
87,-5475819130054980.00,2699416906466078.50,-3650546086703.32,1799611270977.39
88,2025579186549103616.00,3188210944196286976.00,5063947966372759.00,7970527360490718.00
89,-29489396.89,7355569.04,-17346.70,4326.81
90,-603722063.71,-217987021.68,-431230.05,-155705.02
91,19956356664227976.00,-166738275290777792.00,-23736603271250124984560771954838077440.00,-6224388440630608562449093358971256832.00
92,250.36,327.46,0.13,0.17
93,-5651283355200685867008.00,-7785814347961027526656.00,-14128208388001714176.00,-19464535869902569472.00
94,15843.82,2075.40,7.92,1.04
95,-12691.28,-45823.72,-182277458445720889617274634240.00,-379788802134429762209655554048.00
96,64142227760862855168.00,-169687866032640819200.00,64142227760862856.00,-169687866032640832.00
97,49737106994.79,32536339816.92,37081826103529013079346014846841782272.00,82924259599563893548099853116703244288.00
98,-204976188244225567242584064.00,-1554355020614989391589277696.00,-512440470610563955687424.00,-3885887551537473736671232.00
99,355572.65,-288395.23,253.98,-206.00
